"A,1 Log Mag"
"Frequency (Hz)","dB",
21861875000, -1.029236e+002,
21862000000, -1.032317e+002,
21862125000, -1.038769e+002,
21862250000, -1.032539e+002,
21862375000, -1.027557e+002,
21862500000, -1.034664e+002,
21862625000, -1.022783e+002,
21862750000, -1.034498e+002,
21862875000, -1.044330e+002,
21863000000, -1.023733e+002,
21863125000, -1.024810e+002,
21863250000, -1.023097e+002,
21863375000, -1.021265e+002,
21863500000, -1.016570e+002,
21863625000, -1.029690e+002,
21863750000, -1.025584e+002,
21863875000, -1.014621e+002,
21864000000, -9.990259e+001,
21864125000, -1.021768e+002,
21864250000, -1.025255e+002,
21864375000, -1.030832e+002,
21864500000, -1.020781e+002,
21864625000, -1.026968e+002,
21864750000, -1.024126e+002,
21864875000, -1.038628e+002,
21865000000, -1.030285e+002,
21865125000, -1.027203e+002,
21865250000, -1.031974e+002,
21865375000, -1.016642e+002,
21865500000, -1.017343e+002,
21865625000, -1.028382e+002,
21865750000, -1.025214e+002,
21865875000, -1.016204e+002,
21866000000, -1.020799e+002,
21866125000, -1.027181e+002,
21866250000, -1.024712e+002,
21866375000, -1.034658e+002,
21866500000, -1.035020e+002,
21866625000, -1.014295e+002,
21866750000, -1.022870e+002,
21866875000, -1.030664e+002,
21867000000, -1.027703e+002,
21867125000, -1.032803e+002,
21867250000, -1.026282e+002,
21867375000, -1.023840e+002,
21867500000, -1.024074e+002,
21867625000, -1.038872e+002,
21867750000, -1.024937e+002,
21867875000, -1.032124e+002,
21868000000, -1.028459e+002,
21868125000, -1.019339e+002,
21868250000, -1.037744e+002,
21868375000, -1.030418e+002,
21868500000, -1.036043e+002,
21868625000, -1.024617e+002,
21868750000, -1.032176e+002,
21868875000, -1.025115e+002,
21869000000, -1.027724e+002,
21869125000, -1.037391e+002,
21869250000, -1.027508e+002,
21869375000, -1.029267e+002,
21869500000, -1.044498e+002,
21869625000, -1.043427e+002,
21869750000, -1.021434e+002,
21869875000, -1.019122e+002,
21870000000, -1.041805e+002,
21870125000, -1.034408e+002,
21870250000, -1.033603e+002,
21870375000, -1.020786e+002,
21870500000, -1.042568e+002,
21870625000, -1.023718e+002,
21870750000, -1.025650e+002,
21870875000, -1.033853e+002,
21871000000, -1.017697e+002,
21871125000, -1.023353e+002,
21871250000, -1.006189e+002,
21871375000, -1.025715e+002,
21871500000, -1.025401e+002,
21871625000, -1.037456e+002,
21871750000, -1.029814e+002,
21871875000, -1.029027e+002,
21872000000, -1.021109e+002,
21872125000, -1.038974e+002,
21872250000, -1.028759e+002,
21872375000, -1.028533e+002,
21872500000, -1.017263e+002,
21872625000, -1.034835e+002,
21872750000, -1.022727e+002,
21872875000, -1.040004e+002,
21873000000, -1.031594e+002,
21873125000, -1.025524e+002,
21873250000, -1.034076e+002,
21873375000, -1.031946e+002,
21873500000, -1.023868e+002,
21873625000, -1.033027e+002,
21873750000, -1.039088e+002,
21873875000, -1.034415e+002,
21874000000, -1.035726e+002,
21874125000, -1.037293e+002,
21874250000, -1.027444e+002,
21874375000, -1.037164e+002,
21874500000, -1.026829e+002,
21874625000, -1.041705e+002,
21874750000, -1.027318e+002,
21874875000, -1.034840e+002,
21875000000, -1.028599e+002,
21875125000, -1.030042e+002,
21875250000, -1.024457e+002,
21875375000, -1.029315e+002,
21875500000, -1.025266e+002,
21875625000, -1.035996e+002,
21875750000, -1.042162e+002,
21875875000, -1.034599e+002,
21876000000, -1.026965e+002,
21876125000, -1.024469e+002,
21876250000, -1.027376e+002,
21876375000, -1.039855e+002,
21876500000, -1.026132e+002,
21876625000, -1.020331e+002,
21876750000, -1.023664e+002,
21876875000, -1.032819e+002,
21877000000, -1.018387e+002,
21877125000, -1.020541e+002,
21877250000, -1.024516e+002,
21877375000, -1.042090e+002,
21877500000, -1.033642e+002,
21877625000, -1.036575e+002,
21877750000, -1.030944e+002,
21877875000, -1.034004e+002,
21878000000, -1.031455e+002,
21878125000, -1.029560e+002,
21878250000, -1.024371e+002,
21878375000, -1.022678e+002,
21878500000, -1.034222e+002,
21878625000, -1.024583e+002,
21878750000, -1.020804e+002,
21878875000, -1.042173e+002,
21879000000, -1.011651e+002,
21879125000, -1.039182e+002,
21879250000, -1.027016e+002,
21879375000, -1.051979e+002,
21879500000, -1.031264e+002,
21879625000, -1.026597e+002,
21879750000, -1.031709e+002,
21879875000, -1.031207e+002,
21880000000, -7.140794e+001,
21880125000, -1.032495e+002,
21880250000, -1.030011e+002,
21880375000, -1.038147e+002,
21880500000, -1.022016e+002,
21880625000, -1.030943e+002,
21880750000, -1.030357e+002,
21880875000, -1.033763e+002,
21881000000, -1.024503e+002,
21881125000, -1.015073e+002,
21881250000, -1.033611e+002,
21881375000, -1.027288e+002,
21881500000, -1.033079e+002,
